Sensor 1;Sensor 2;Sensor 3;Sensor 4;Sensor 5;Sensor 6;Sensor 7;Sensor 8;Resultado
-8;-7;1;-8;-7;-13;-11;-8;0
2;3;-6;1;-8;6;3;1;0
0;-3;2;-2;3;-3;-4;-2;0
-2;-2;0;-1;-1;-1;-2;-3;0
0;0;-1;2;-2;2;0;0;0
-2;-1;2;-1;1;-2;-1;-2;0
2;1;0;-2;-2;-2;1;-1;0
-2;-2;-2;-1;-1;0;0;1;0
-1;-1;-2;0;0;1;-1;0;0
0;-1;0;-2;0;-1;0;-1;0
0;0;0;-1;-1;0;0;-1;0
-1;0;-1;-1;-1;-1;-1;-1;0
0;-2;-2;0;-1;-2;-1;-1;0
-1;-1;-4;0;-1;-2;0;-2;0
2;0;0;-2;-1;1;0;0;0
0;0;1;2;0;-1;-1;-2;0
-1;-1;-1;0;1;-1;0;-2;0
0;0;-1;-4;0;-1;-2;-1;0
0;1;1;1;1;-1;-1;-2;0
-1;0;1;-1;1;0;-1;-1;0
-2;-1;-1;-1;-1;0;-2;0;0
0;-1;2;1;1;1;-1;1;0
-1;-1;-2;-2;-1;-2;-2;-1;0
-1;-2;-2;-2;0;-1;-1;-1;0
-1;1;0;-2;0;-2;-2;-2;0
-2;0;1;0;-1;0;-2;0;0
-1;0;-1;-1;0;1;0;-1;0
1;0;-2;-2;-1;-1;-1;-2;0
0;-1;0;-2;0;-2;-1;0;0
0;-1;2;-3;-1;-1;-2;-1;0
-1;-1;0;-1;-1;-1;-3;-3;0
-2;0;2;3;0;-2;-1;0;0
-2;-1;-1;-1;-1;1;0;-1;0
0;-1;-1;1;0;0;-3;-1;0
0;-2;-3;1;-2;-2;-1;-1;0
0;0;-1;-2;0;-1;0;-1;0
-1;-1;-1;-2;0;-1;-1;-2;0
1;0;0;0;-1;0;0;0;0
-1;-1;-2;-1;-1;-2;0;-2;0
-2;-2;1;1;-2;1;0;-1;0
-1;0;-1;-2;0;-2;0;-1;0
-2;-1;-1;-3;0;0;0;1;0
-2;0;0;1;0;-1;-1;0;0
2;0;-2;-2;-2;1;-1;2;0
-1;0;-1;0;-1;-1;-1;0;0
0;-1;-2;-1;2;-1;-1;0;0
0;-2;-2;0;-2;1;0;-1;0
0;1;-1;-1;-2;0;-1;-1;0
-3;-2;0;-1;-3;1;-1;-1;0
-1;-1;-2;-1;0;1;-1;0;0
1;-1;-1;0;-2;-1;-2;-1;0
-2;-1;-2;-1;1;2;-1;0;0
1;-2;1;2;1;-1;1;0;0
-1;-1;-1;0;0;0;-2;0;0
-1;-1;-1;-3;-2;0;-1;-1;0
0;-2;-1;0;-1;1;1;-1;0
-2;-1;-2;-1;-1;0;-1;-2;0
-1;-1;-3;-3;-2;-1;-1;1;0
-1;-1;0;-1;-1;-2;-1;-1;0
-1;-1;0;-2;1;1;0;-3;0
0;-1;0;-2;-1;0;-1;0;0
-1;-1;-2;-2;0;-2;-1;0;0
0;0;0;0;-2;-2;-2;-2;0
1;0;-1;-3;1;0;1;-1;0
0;1;-3;0;-1;0;-1;1;0
-1;0;-1;-2;-1;1;-3;0;0
0;-1;-1;-2;-1;0;-2;2;0
-1;-1;2;-1;-2;0;-4;1;0
-1;-2;-1;0;0;-1;-2;-1;0
-1;-2;0;-1;0;-2;0;-2;0
-1;-2;-2;0;-1;0;0;0;0
1;0;-2;1;1;1;0;0;0
-3;0;-1;0;0;-1;-1;-1;0
-1;1;0;-1;1;0;-3;0;0
1;-2;-1;0;1;0;-1;0;0
1;0;0;-1;-1;0;-2;-1;0
-2;-1;-1;1;-1;-2;-2;-2;0
-3;-1;0;-1;-3;-1;0;-2;0
1;0;2;-1;0;-1;1;-1;0
2;-1;-1;-1;0;-2;-1;-1;0
-1;-1;-3;-1;-1;-2;0;2;0
0;0;0;-2;0;-2;-1;1;0
0;-3;-1;-3;-1;0;-1;2;0
-2;-2;-2;-1;-1;0;-2;-1;0
-2;0;-1;-1;0;-2;0;-3;0
0;-1;1;-2;0;1;-1;-1;0
1;-3;-1;-2;-1;-1;0;-2;0
-1;0;-2;0;-1;0;-2;-2;0
1;0;0;0;-1;-2;-2;-1;0
-1;0;-2;-1;1;-1;-1;2;0
-1;-2;0;1;-2;0;-1;-1;0
-1;1;0;0;-1;-2;1;-3;0
0;-2;-2;-1;1;0;-1;-1;0
-2;-1;-1;1;-1;0;-1;0;0
-2;-1;-2;0;0;-1;-1;1;0
-1;-1;-3;1;-2;1;-1;-2;0
0;0;1;0;0;-1;0;1;0
-1;-1;0;0;-1;-3;-3;0;0
1;-1;2;-2;-3;2;0;3;0
0;0;-2;0;1;0;2;1;0
-1;-1;0;2;0;0;-1;-1;0
2;0;-2;2;-2;-2;1;2;0
0;-2;-2;-2;0;0;0;-1;0
0;-2;1;1;1;-1;-2;-1;0
-1;0;-3;-3;-1;-1;0;0;0
0;-2;-1;-1;1;-1;-1;-1;0
0;-1;-2;-1;-1;-2;0;-2;0
-1;-2;-2;-1;-1;-2;0;-2;0
-2;0;2;-1;-1;0;0;-1;0
-1;0;-1;2;1;-1;-1;-1;0
-1;-1;-1;-1;0;0;-1;-2;0
-1;-2;-1;-1;-1;-1;0;0;0
-1;0;-1;0;-2;-1;-2;0;0
-2;-3;-3;-1;-1;1;0;-1;0
